22:54:11 programm started
08:24:13 checkApp 3096 "yandex\\Partners.exe"
08:29:11 checkApp 3096 "yandex\\Partners.exe"
08:34:11 checkApp 3096 "yandex\\Partners.exe"
08:39:11 checkApp 3096 "yandex\\Partners.exe"
08:44:11 checkApp 3096 "yandex\\Partners.exe"
08:49:11 checkApp 3096 "yandex\\Partners.exe"
08:54:13 checkApp 3096 "yandex\\Partners.exe"
08:59:11 checkApp 3096 "yandex\\Partners.exe"
09:04:11 checkApp 3096 "yandex\\Partners.exe"
09:09:11 checkApp 3096 "yandex\\Partners.exe"
09:14:11 checkApp 3096 "yandex\\Partners.exe"
09:19:11 checkApp 3096 "yandex\\Partners.exe"
09:24:13 checkApp 3096 "yandex\\Partners.exe"
09:29:11 checkApp 3096 "yandex\\Partners.exe"
09:34:11 checkApp 3096 "yandex\\Partners.exe"
09:39:11 checkApp 3096 "yandex\\Partners.exe"
09:44:11 checkApp 3096 "yandex\\Partners.exe"
09:49:11 checkApp 3096 "yandex\\Partners.exe"
09:54:13 checkApp 3096 "yandex\\Partners.exe"
09:59:11 checkApp 3096 "yandex\\Partners.exe"
10:04:11 checkApp 3096 "yandex\\Partners.exe"
10:09:11 checkApp 3096 "yandex\\Partners.exe"
10:14:11 checkApp 3096 "yandex\\Partners.exe"
10:19:11 checkApp 3096 "yandex\\Partners.exe"
10:24:13 checkApp 3096 "yandex\\Partners.exe"
10:29:12 checkApp 3096 "yandex\\Partners.exe"
10:34:12 checkApp 3096 "yandex\\Partners.exe"
10:39:12 checkApp 3096 "yandex\\Partners.exe"
10:44:12 checkApp 3096 "yandex\\Partners.exe"
10:49:12 checkApp 3096 "yandex\\Partners.exe"
10:54:13 checkApp 3096 "yandex\\Partners.exe"
10:59:12 checkApp 3096 "yandex\\Partners.exe"
11:04:12 checkApp 3096 "yandex\\Partners.exe"
11:09:12 checkApp 3096 "yandex\\Partners.exe"
11:14:12 checkApp 3096 "yandex\\Partners.exe"
11:19:12 checkApp 3096 "yandex\\Partners.exe"
11:24:14 checkApp 3096 "yandex\\Partners.exe"
11:29:12 checkApp 3096 "yandex\\Partners.exe"
11:34:12 checkApp 3096 "yandex\\Partners.exe"
11:39:12 checkApp 3096 "yandex\\Partners.exe"
11:44:12 checkApp 3096 "yandex\\Partners.exe"
11:49:12 checkApp 3096 "yandex\\Partners.exe"
11:54:13 checkApp 3096 "yandex\\Partners.exe"
11:59:12 checkApp 3096 "yandex\\Partners.exe"
12:04:12 checkApp 3096 "yandex\\Partners.exe"
12:09:12 checkApp 3096 "yandex\\Partners.exe"
12:14:12 checkApp 3096 "yandex\\Partners.exe"
12:19:12 checkApp 3096 "yandex\\Partners.exe"
12:24:14 checkApp 3096 "yandex\\Partners.exe"
12:29:12 checkApp 3096 "yandex\\Partners.exe"
12:34:12 checkApp 3096 "yandex\\Partners.exe"
12:39:12 checkApp 3096 "yandex\\Partners.exe"
12:44:12 checkApp 3096 "yandex\\Partners.exe"
12:49:12 checkApp 3096 "yandex\\Partners.exe"
12:54:13 checkApp 3096 "yandex\\Partners.exe"
12:59:12 checkApp 3096 "yandex\\Partners.exe"
13:04:12 checkApp 3096 "yandex\\Partners.exe"
13:09:12 checkApp 3096 "yandex\\Partners.exe"
13:14:12 checkApp 3096 "yandex\\Partners.exe"
13:19:12 checkApp 3096 "yandex\\Partners.exe"
13:24:13 checkApp 3096 "yandex\\Partners.exe"
13:29:12 checkApp 3096 "yandex\\Partners.exe"
13:34:12 checkApp 3096 "yandex\\Partners.exe"
13:39:12 checkApp 3096 "yandex\\Partners.exe"
13:44:12 checkApp 3096 "yandex\\Partners.exe"
13:49:12 checkApp 3096 "yandex\\Partners.exe"
13:54:13 checkApp 3096 "yandex\\Partners.exe"
13:59:12 checkApp 3096 "yandex\\Partners.exe"
14:04:12 checkApp 3096 "yandex\\Partners.exe"
14:09:12 checkApp 3096 "yandex\\Partners.exe"
14:14:12 checkApp 3096 "yandex\\Partners.exe"
14:19:12 checkApp 3096 "yandex\\Partners.exe"
14:24:13 checkApp 3096 "yandex\\Partners.exe"
14:29:12 checkApp 3096 "yandex\\Partners.exe"
14:34:12 checkApp 3096 "yandex\\Partners.exe"
14:39:12 checkApp 3096 "yandex\\Partners.exe"
14:44:12 checkApp 3096 "yandex\\Partners.exe"
14:49:12 checkApp 3096 "yandex\\Partners.exe"
14:54:13 checkApp 3096 "yandex\\Partners.exe"
14:59:12 checkApp 3096 "yandex\\Partners.exe"
15:04:12 checkApp 3096 "yandex\\Partners.exe"
15:09:12 checkApp 3096 "yandex\\Partners.exe"
15:14:12 checkApp 3096 "yandex\\Partners.exe"
15:19:12 checkApp 3096 "yandex\\Partners.exe"
15:24:13 checkApp 3096 "yandex\\Partners.exe"
15:29:12 checkApp 3096 "yandex\\Partners.exe"
15:34:12 checkApp 3096 "yandex\\Partners.exe"
15:39:12 checkApp 3096 "yandex\\Partners.exe"
15:44:12 checkApp 3096 "yandex\\Partners.exe"
15:49:12 checkApp 3096 "yandex\\Partners.exe"
15:54:13 checkApp 3096 "yandex\\Partners.exe"
15:59:12 checkApp 3096 "yandex\\Partners.exe"
16:04:12 checkApp 3096 "yandex\\Partners.exe"
16:09:12 checkApp 3096 "yandex\\Partners.exe"
16:14:12 checkApp 3096 "yandex\\Partners.exe"
16:19:12 checkApp 3096 "yandex\\Partners.exe"
16:24:14 checkApp 3096 "yandex\\Partners.exe"
16:29:12 checkApp 3096 "yandex\\Partners.exe"
16:34:12 checkApp 3096 "yandex\\Partners.exe"
16:39:12 checkApp 3096 "yandex\\Partners.exe"
16:44:12 checkApp 3096 "yandex\\Partners.exe"
16:49:12 checkApp 3096 "yandex\\Partners.exe"
16:54:13 checkApp 3096 "yandex\\Partners.exe"
16:59:12 checkApp 3096 "yandex\\Partners.exe"
17:04:12 checkApp 3096 "yandex\\Partners.exe"
17:09:12 checkApp 3096 "yandex\\Partners.exe"
17:14:12 checkApp 3096 "yandex\\Partners.exe"
17:19:12 checkApp 3096 "yandex\\Partners.exe"
17:24:13 checkApp 3096 "yandex\\Partners.exe"
17:29:12 checkApp 3096 "yandex\\Partners.exe"
17:34:12 checkApp 3096 "yandex\\Partners.exe"
17:39:12 checkApp 3096 "yandex\\Partners.exe"
17:44:12 checkApp 3096 "yandex\\Partners.exe"
17:49:12 checkApp 3096 "yandex\\Partners.exe"
17:54:13 checkApp 3096 "yandex\\Partners.exe"
17:59:12 checkApp 3096 "yandex\\Partners.exe"
18:04:12 checkApp 3096 "yandex\\Partners.exe"
18:09:12 checkApp 3096 "yandex\\Partners.exe"
18:14:12 checkApp 3096 "yandex\\Partners.exe"
18:19:12 checkApp 3096 "yandex\\Partners.exe"
18:24:13 checkApp 3096 "yandex\\Partners.exe"
18:29:12 checkApp 3096 "yandex\\Partners.exe"
18:34:12 checkApp 3096 "yandex\\Partners.exe"
18:39:12 checkApp 3096 "yandex\\Partners.exe"
18:44:12 checkApp 3096 "yandex\\Partners.exe"
18:49:12 checkApp 3096 "yandex\\Partners.exe"
18:54:13 checkApp 3096 "yandex\\Partners.exe"
18:59:12 checkApp 3096 "yandex\\Partners.exe"
19:04:12 checkApp 3096 "yandex\\Partners.exe"
19:09:12 checkApp 3096 "yandex\\Partners.exe"
19:14:12 checkApp 3096 "yandex\\Partners.exe"
19:19:12 checkApp 3096 "yandex\\Partners.exe"
19:24:13 checkApp 3096 "yandex\\Partners.exe"
19:29:12 checkApp 3096 "yandex\\Partners.exe"
19:34:12 checkApp 3096 "yandex\\Partners.exe"
19:39:12 checkApp 3096 "yandex\\Partners.exe"
19:44:12 checkApp 3096 "yandex\\Partners.exe"
19:49:12 checkApp 3096 "yandex\\Partners.exe"
19:54:13 checkApp 3096 "yandex\\Partners.exe"
19:59:12 checkApp 3096 "yandex\\Partners.exe"
20:04:12 checkApp 3096 "yandex\\Partners.exe"
20:09:12 checkApp 3096 "yandex\\Partners.exe"
20:14:12 checkApp 3096 "yandex\\Partners.exe"
20:19:12 checkApp 3096 "yandex\\Partners.exe"
20:24:13 checkApp 3096 "yandex\\Partners.exe"
20:29:12 checkApp 3096 "yandex\\Partners.exe"
20:34:12 checkApp 3096 "yandex\\Partners.exe"
20:39:12 checkApp 3096 "yandex\\Partners.exe"
20:44:12 checkApp 3096 "yandex\\Partners.exe"
20:49:12 checkApp 3096 "yandex\\Partners.exe"
20:54:13 checkApp 3096 "yandex\\Partners.exe"
20:59:12 checkApp 3096 "yandex\\Partners.exe"
21:04:12 checkApp 3096 "yandex\\Partners.exe"
21:09:12 checkApp 3096 "yandex\\Partners.exe"
21:14:12 checkApp 3096 "yandex\\Partners.exe"
21:19:12 checkApp 3096 "yandex\\Partners.exe"
21:24:13 checkApp 3096 "yandex\\Partners.exe"
21:29:12 checkApp 3096 "yandex\\Partners.exe"
21:34:12 checkApp 3096 "yandex\\Partners.exe"
21:39:12 checkApp 3096 "yandex\\Partners.exe"
21:44:12 checkApp 3096 "yandex\\Partners.exe"
21:49:12 checkApp 3096 "yandex\\Partners.exe"
21:54:13 checkApp 3096 "yandex\\Partners.exe"
21:59:12 checkApp 3096 "yandex\\Partners.exe"
22:04:13 checkApp 3096 "yandex\\Partners.exe"
22:09:13 checkApp 3096 "yandex\\Partners.exe"
22:14:13 checkApp 3096 "yandex\\Partners.exe"
